# EUR/USD-Wochenkurse aus den offiziellen EZB-Referenzkursen (Euro foreign
# exchange reference rates, taeglich veroeffentlicht seit 1999). Wird NUR
# gelesen, von keinem Skript geschrieben - ueberlebt damit jeden Lauf von
# scripts/backfill_history.py, der price_history.csv komplett neu aufbaut.
#
# Zweck: Alpha Vantages FX_WEEKLY liefert USD/EUR erst ab 2014-11-21. Fuer
# alles davor bleiben die neun USD-Ticker und BTC-EUR sonst leer (#61) - der
# Backfill rechnet sie bewusst nicht mehr mit einem spaeteren Kurs um. Diese
# Datei schliesst genau diese Luecke, in TAEGLICHER Aufloesung, damit jeder
# Wochenschlusskurs mit dem Kurs SEINES Handelstags umgerechnet wird statt
# mit dem einer benachbarten Woche.
#
# Abdeckung: 2006-01-02 bis 2014-11-14 (2272 Handelstage), also bis einschliesslich
# ISO-KW 46/2014. Ab KW 47/2014 uebernimmt FX_WEEKLY - dort steht bewusst
# kein Eintrag, damit die API-Daten unangetastet bleiben.
#
# Spalten:
#   Date         ISO-Datum des EZB-Handelstags
#   EUR_pro_USD  Wie viele EUR ein USD kostet, also 1/(EUR/USD).
#                Die EZB veroeffentlicht USD je EUR - hier ist der Kehrwert
#                eingetragen, gerundet auf 6 Nachkommastellen.
#
# Quelle: European Central Bank, "Euro foreign exchange reference rates"
#   https://www.ecb.europa.eu/stats/eurofxref/eurofxref-hist.zip
# Erhoben am 2026-08-22 aus der in currencyconverter 0.18.21 (PyPI)
# gebuendelten Kopie dieser Datei, da der Direktabruf hier nicht moeglich war.
# Zur Kontrolle: 2008-07-15 = 1,5990 USD/EUR (historisches Hoch),
# 2011-05-04 = 1,4882, 2014-11-14 = 0.804117 EUR_pro_USD.
#
# Zeilen mit fuehrendem # werden uebersprungen.
Date,EUR_pro_USD
2008-10-10,0.736431
2008-10-13,0.733192
2008-10-14,0.727167
2008-10-15,0.733945
2008-10-16,0.740357
2008-10-17,0.746046
2008-10-20,0.744934
2008-10-21,0.758495
2008-10-22,0.778634
2008-10-23,0.780640
2008-10-24,0.793903
2008-10-27,0.802568
2008-10-28,0.798339
2008-10-29,0.783085
2008-10-30,0.767165
2008-10-31,0.783883
2008-11-03,0.779910
2008-11-04,0.780031
2008-11-05,0.777001
2008-11-06,0.783085
2008-11-07,0.783945
2008-11-10,0.775735
2008-11-11,0.784498
2008-11-12,0.798085
2008-11-13,0.798403
2008-11-14,0.788955
2008-11-17,0.789889
2008-11-18,0.790326
2008-11-19,0.791515
2008-11-20,0.797321
2008-11-21,0.793525
2008-11-24,0.782901
2008-11-25,0.780579
2008-11-26,0.773096
2008-11-27,0.775194
2008-11-28,0.785731
2008-12-01,0.793147
2008-12-02,0.787588
2008-12-03,0.792205
2008-12-04,0.792393
2008-12-05,0.789578
2008-12-08,0.777968
2008-12-09,0.778938
2008-12-10,0.773694
2008-12-11,0.756716
2008-12-12,0.749625
2008-12-15,0.740192
2008-12-16,0.730460
2008-12-17,0.711288
2008-12-18,0.684182
2008-12-19,0.717360
2008-12-22,0.715820
2008-12-23,0.715410
2008-12-24,0.714031
2008-12-29,0.700771
2008-12-30,0.709320
2008-12-31,0.718546
2009-01-02,0.721189
2009-01-05,0.736269
2009-01-06,0.750075
2009-01-07,0.735565
2009-01-08,0.734376
2009-01-09,0.730780
2009-01-12,0.746603
2009-01-13,0.754034
2009-01-14,0.759129
2009-01-15,0.764234
2009-01-16,0.753580
2009-01-19,0.758610
2009-01-20,0.773395
2009-01-21,0.774593
2009-01-22,0.770179
2009-01-23,0.781555
2009-01-26,0.769823
2009-01-27,0.759071
2009-01-28,0.754148
2009-01-29,0.762718
2009-01-30,0.780275
2009-02-02,0.783699
2009-02-03,0.778271
2009-02-04,0.780153
2009-02-05,0.779484
2009-02-06,0.781494
